Date,Portfolio Value
2017-12-29,5089.764851040972
2018-01-31,5267.47853328866
2018-02-28,5086.6963795262
2018-03-29,4964.859629565846
2018-04-30,8078.6057106921035
2018-05-31,8283.757755042252
2018-06-29,8200.342722865424
2018-07-31,8277.639945450384
2018-08-31,8198.193062430542
2018-09-28,8052.8513221386
2018-10-31,7254.3851774971245
2018-11-30,7302.228740963029
2018-12-28,6920.223215368836
2019-01-31,5332.885525016385
2019-02-28,7782.739712844328
2019-03-29,7646.734034311025
2019-04-30,8551.026848960388
2019-05-31,7822.941395318552
2019-06-28,8135.418880452598
2019-07-31,8071.069829504917
2019-08-30,7872.704823650051
2019-09-30,8119.281334694584
2019-10-31,8251.328159839182
2019-11-29,8749.391883117967
2019-12-30,8983.402772586025
2020-01-31,8968.038690381407
2020-02-28,8062.282295518874
2020-03-31,6660.859155118305
2020-04-30,7201.127008772878
2020-05-29,7681.195657428916
2020-06-30,6284.132601087945
2020-07-31,6416.814219238038
2020-08-28,7102.40129491912
2020-09-30,6753.839805910994
2020-10-30,6682.695407996844
2020-11-30,7718.241844998011
2020-12-30,9622.72835146924
2021-01-29,9423.451588566924
2021-02-26,11077.615300356203
2021-03-31,11276.867570410106
2021-04-30,11615.451393193349
2021-05-28,11480.876889632551
2021-06-30,11567.696488583017
2021-07-30,10922.504960447684
2021-08-31,11611.975975072151
2021-09-30,10978.385867912279
2021-10-29,12500.175649968032
2021-11-30,12000.366652316905
2021-12-30,12540.72404232134
2022-01-31,11356.572040624016
2022-02-28,10735.633367643779
2022-03-31,10844.074810040447
2022-04-29,9782.203993433983
2022-05-31,9784.999506404147
2022-06-30,8958.004001510733
2022-07-29,9708.04944541226
2022-08-31,9297.967679807483
2022-09-30,8341.587136943455
2022-10-31,8932.512771173122
2022-11-30,9780.237019040855
2022-12-30,9314.226799566215
2023-01-31,10187.817482409384
2023-02-28,9832.165448679754
2023-03-31,10132.50617958318
2023-04-28,10024.167299024108
2023-05-31,9622.689524328278
2023-06-30,9818.033175170101
2023-07-31,10076.847837050873
