Company Name,Value
LLoyds Banking Group,668.2856479379033
BlackRock Inc.,774.1651894302023
Baxter,170.87140317238357
Americold,178.01061356823865
Salesforce,647.5563081294794
Disney,362.99913558762915
Eestee Lauder,303.9536934480637
Easy Jet,333.32090711401054
Games Workshop,675.6
Granite Reit,458.7215837022247
Infineon Technologies,784.0980465629582
Mercado Libre,705.5881778312045
Next Era Energy,829.7214963905942
Pfizer,507.0446608707543
Total S.A.,485.3351912146109
Block Inc.,66.09039884655483
Total Portfolio,7951.3624538068125
Cash,499.04
