Date,Total Portfolio Value
2023-05-31,0
2023-05-24,8367.224509808875
2023-05-17,8442.444844993253
2023-05-10,8428.649633115925
2023-05-03,8388.550670007924
2023-04-26,8566.772370879515
2023-04-19,8864.541047032033
2023-04-12,8723.413366743931
2023-04-05,8680.822947953398
2023-03-29,8706.221515621703
2023-03-22,8553.85453367122
2023-03-15,8455.18762201674
2023-03-08,8837.53256292083
2023-03-01,8645.764619357393
2023-02-22,8569.726077323881
2023-02-15,8871.240267251544
2023-02-08,8863.190634941904
2023-02-01,8876.442001355905
2023-01-25,8857.159138932833
2023-01-18,8725.483693344084
2023-01-11,8549.312229904022
2023-01-04,8357.454623964308
2022-12-28,8006.076447634703
2022-12-21,8161.333565157062
2022-12-14,8308.658025991224
2022-12-07,8130.600441599952
2022-11-30,8777.538666816328
2022-11-23,8711.845171783652
2022-11-16,8631.360838910787
2022-11-09,8054.481950805024
2022-11-02,7875.923081656434
2022-10-26,8131.330246756681
2022-10-19,7780.819281981513
2022-10-12,7491.276067469513
2022-10-05,8109.585507138482
2022-09-28,7738.52589466971
2022-09-21,7320.472157167379
2022-09-14,8463.432974057056
2022-09-07,8432.167898115757
2022-08-31,7963.274924375617
2022-08-24,8338.870579749713
2022-08-17,8687.094111644788
2022-08-10,8676.527385035128
2022-08-03,8459.560488856097
2022-07-27,8268.914748706407
2022-07-20,8120.3354373889415
2022-07-13,7773.260075045373
2022-07-06,7871.082094282256
2022-06-29,7696.215186892747
2022-06-22,7588.678369797539
2022-06-15,7662.496430048233
2022-06-08,8472.120746694489
2022-06-01,8323.502384291129
2022-05-25,7975.716749189073
2022-05-18,7833.794652856922
2022-05-11,7691.981668736264
2022-05-04,8371.18736101649
2022-04-27,8119.997765444301
2022-04-20,8580.951970114504
2022-04-13,8650.548301737104
2022-04-06,8738.667544313757
2022-03-30,8946.529679396846
2022-03-23,8754.645409931109
2022-03-16,8635.198477816048
2022-03-09,8278.360714536113
2022-03-02,8642.556895502963
2022-02-23,8450.261595320255
2022-02-16,9015.07711505551
2022-02-09,9212.18329232546
2022-02-02,9194.023358426277
2022-01-26,8878.735364849856
2022-01-19,9346.926244282851
2022-01-12,9799.365365250233
2022-01-05,9811.848822493117
2021-12-29,10147.416153732347
2021-12-22,10009.884749553159
2021-12-15,9912.04137175306
2021-12-08,9984.169330333973
2021-12-01,9706.679229546042
2021-11-24,9851.75506090674
2021-11-17,10165.721149585237
2021-11-10,10202.490950090669
2021-11-03,10138.124962761665
2021-10-27,10018.978613031974
2021-10-20,9959.951556940228
2021-10-13,9695.397591646786
2021-10-06,8780.675963718613
2021-09-29,8718.588633674732
2021-09-22,8855.907471819692
2021-09-15,8992.301133067886
2021-09-08,9191.937368157516
2021-09-01,9231.691952928253
2021-08-25,9086.574928078062
2021-08-18,8917.744867086134
2021-08-11,8987.794458080052
2021-08-04,8710.045014364441
2021-07-28,8779.456067691606
2021-07-21,8585.686365151882
2021-07-14,9265.603412778231
2021-07-07,9300.476830046464
2021-06-30,9093.460431438727
2021-06-23,9072.421380455813
2021-06-16,9079.310721979151
2021-06-09,8993.419145629652
2021-06-02,9077.263349348543
2021-05-26,9119.811707235309
2021-05-19,8917.40223530979
2021-05-12,8869.82795415627
2021-05-05,9158.077046110686
2021-04-28,9290.890891118088
2021-04-21,9102.610594650225
2021-04-14,9194.206269481607
2021-04-07,9156.298336560321
2021-03-31,8985.680299204154
2021-03-24,8736.758660621284
2021-03-17,8925.849354030319
2021-03-10,8734.386638930257
2021-03-03,8772.047825580486
2021-02-24,9150.338181850566
2021-02-17,9148.352584752716
2021-02-10,8040.694382640717
2021-02-03,7871.473817615728
2021-01-27,7617.375113639652
2021-01-20,8039.786504708653
2021-01-13,8016.666043960677
2021-01-06,7830.708557784466
2020-12-30,7932.544738911109
2020-12-23,6624.950509796166
2020-12-16,6581.909552660686
2020-12-09,6520.016390627849
2020-12-02,6490.409162991836
2020-11-25,6587.227597858779
2020-11-18,6435.428117183841
2020-11-11,6354.918814638298
2020-11-04,5849.745474920176
2020-10-28,5632.164343801984
2020-10-21,5951.337352657597
2020-10-14,6002.8664178053805
